Cr,Co,Mo,W,Ta,Re,Al,B,C,Hf,Ni,Nb,Ti,ÎÂ¶È,Ó¦Á¦,shouming£¨h£©,suxing£¨%£©
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,1100,130,220,2.5
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,1050,190,104,12
6.49,9.6,0.63,6.405,6.485,2.945,5.595,0,0,0.0945,60.77,0,1.01,850,650,122,24.5
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,980,250,238,22
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,1100,130,168,8.5
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,1050,190,124,13.5
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,850,650,122,21
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,980,250,325,22
6.485,9.6,0.62,6.42,6.495,2.805,5.605,0,0,0.095,60.86,0,1.005,850,650,114,33.5
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,980,250,269,25.5
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,1100,130,248,13
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,1050,190,114,12
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,850,650,125,28
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,980,250,249,24.5
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,1050,190,106,16.5
6.48,9.54,0.62,6.375,6.47,3.1,5.625,0,0,0.0955,60.745,0,1.01,850,650,77.7,38.5
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,980,250,200,8
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,1100,130,181,4.5
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,1050,190,125,18
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,850,650,63.5,24.5
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,980,250,201,14
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,1100,130,167,1.5
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,1050,190,53.9,13
6.455,9.585,0.615,6.395,6.47,2.955,5.46,0,0,0.96,61.035,0,1.02,850,650,67.3,46.5
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,980,250,315,22
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,1100,130,118,6.5
6.455,9.585,0.61,6.405,6.465,2.955,5.61,0,0,0.072,60.905,0,1.015,1050,190,120,15
